Date,Weight
2018-06-22,73.4
2018-06-24,72.4
2018-06-25,73.1
2018-06-26,73.2
2018-06-27,73.1
2018-06-28,73.3
2018-06-29,74.8
2018-06-30,74
2018-07-01,74.1
2018-07-03,73.5
2018-07-04,73.4
2018-07-05,73.9
2018-07-06,74.9
2018-07-10,73.7
2018-07-11,73.9
2018-07-12,74.5
2018-07-13,74
2018-07-14,73.7
2018-07-16,73.5
2018-07-17,73.8
2018-07-18,74
2018-07-19,73.4
2018-07-20,74
2018-07-22,73.1
2018-07-23,74.1
2018-07-24,74.2
2018-07-25,74.1
2018-07-26,73.9
2018-07-27,73.8
2018-07-28,73.1
2018-07-30,74.9
2018-07-31,74.4
2018-08-01,73.4
2018-08-02,73.8
2018-08-03,73.6
2018-08-06,74.2
2018-08-07,74.1
2018-08-08,73.5
2018-08-09,73.9
2018-08-10,74
2018-08-11,72.8
2018-08-12,72.4
2018-08-13,73
2018-08-14,74.1
2018-08-15,73.5
2018-08-16,74.3
2018-08-17,73.4
2018-08-18,73.3
2018-08-19,73.6
2018-08-20,74.1
